time,count,site,month
2016-06-27 00:00:00,11.0,chanet,2016-06
2016-06-28 00:00:00,16.0,chanet,2016-06
2016-06-29 00:00:00,15.0,chanet,2016-06
2016-06-30 00:00:00,2.0,chanet,2016-06
2016-07-01 00:00:00,15.0,chanet,2016-07
2016-07-02 00:00:00,12.0,chanet,2016-07
2016-07-03 00:00:00,27.0,chanet,2016-07
2016-07-04 00:00:00,16.0,chanet,2016-07
2016-07-05 00:00:00,9.0,chanet,2016-07
2016-07-06 00:00:00,38.0,chanet,2016-07
2016-07-07 00:00:00,16.0,chanet,2016-07
2016-07-08 00:00:00,10.0,chanet,2016-07
2016-07-09 00:00:00,20.0,chanet,2016-07
2016-07-10 00:00:00,5.0,chanet,2016-07
2016-07-11 00:00:00,29.0,chanet,2016-07
2016-07-12 00:00:00,2.0,chanet,2016-07
2016-07-13 00:00:00,60.0,chanet,2016-07
2016-07-14 00:00:00,43.0,chanet,2016-07
2016-07-15 00:00:00,3.0,chanet,2016-07
2016-07-16 00:00:00,45.0,chanet,2016-07
2016-07-17 00:00:00,34.0,chanet,2016-07
2016-07-18 00:00:00,52.0,chanet,2016-07
2016-07-19 00:00:00,40.0,chanet,2016-07
2016-07-20 00:00:00,21.0,chanet,2016-07
2016-07-21 00:00:00,20.0,chanet,2016-07
2016-07-22 00:00:00,8.0,chanet,2016-07
2016-07-23 00:00:00,62.0,chanet,2016-07
2016-07-24 00:00:00,54.0,chanet,2016-07
2016-07-25 00:00:00,58.0,chanet,2016-07
2016-07-26 00:00:00,68.0,chanet,2016-07
2016-07-27 00:00:00,51.0,chanet,2016-07
2016-07-28 00:00:00,52.0,chanet,2016-07
2016-07-29 00:00:00,62.0,chanet,2016-07
2016-07-30 00:00:00,32.0,chanet,2016-07
2016-07-31 00:00:00,21.0,chanet,2016-07
2016-08-01 00:00:00,89.0,chanet,2016-08
2016-08-02 00:00:00,48.0,chanet,2016-08
2016-08-03 00:00:00,46.0,chanet,2016-08
2016-08-04 00:00:00,44.0,chanet,2016-08
2016-08-05 00:00:00,56.0,chanet,2016-08
2016-08-06 00:00:00,65.0,chanet,2016-08
2016-08-07 00:00:00,54.0,chanet,2016-08
2016-08-08 00:00:00,71.0,chanet,2016-08
2016-08-09 00:00:00,89.0,chanet,2016-08
2016-08-10 00:00:00,64.0,chanet,2016-08
2016-08-11 00:00:00,79.0,chanet,2016-08
2016-08-12 00:00:00,89.0,chanet,2016-08
2016-08-13 00:00:00,40.0,chanet,2016-08
2016-08-14 00:00:00,54.0,chanet,2016-08
2016-08-15 00:00:00,64.0,chanet,2016-08
2016-08-16 00:00:00,84.0,chanet,2016-08
2016-08-17 00:00:00,49.0,chanet,2016-08
2016-08-18 00:00:00,64.0,chanet,2016-08
2016-08-19 00:00:00,48.0,chanet,2016-08
2016-08-20 00:00:00,5.0,chanet,2016-08
2016-08-21 00:00:00,84.0,chanet,2016-08
2016-08-22 00:00:00,38.0,chanet,2016-08
2016-08-23 00:00:00,22.0,chanet,2016-08
2016-08-24 00:00:00,27.0,chanet,2016-08
2016-08-25 00:00:00,28.0,chanet,2016-08
2016-08-26 00:00:00,25.0,chanet,2016-08
2016-08-27 00:00:00,8.0,chanet,2016-08
2016-08-28 00:00:00,17.0,chanet,2016-08
2016-08-29 00:00:00,14.0,chanet,2016-08
2016-08-30 00:00:00,11.0,chanet,2016-08
2016-08-31 00:00:00,14.0,chanet,2016-08
2016-09-01 00:00:00,22.0,chanet,2016-09
2016-09-02 00:00:00,4.0,chanet,2016-09
